"fips","location","population","density"
"37111","McDowell County, North Carolina",45756,104.00162297
"37069","Franklin County, North Carolina",69685,141.69366231
"37101","Johnston County, North Carolina",209339,264.5772215
"37103","Jones County, North Carolina",9419,19.982272598
"37113","Macon County, North Carolina",35858,69.548935776
"37145","Person County, North Carolina",39490,100.65405418
"37019","Brunswick County, North Carolina",142820,168.18324189
"37175","Transylvania County, North Carolina",34385,90.880676848
"37009","Ashe County, North Carolina",27203,63.996291002
"37013","Beaufort County, North Carolina",46994,56.476894512
"37047","Columbus County, North Carolina",55508,59.169334048
"37107","Lenoir County, North Carolina",55949,140.19255974
"37109","Lincoln County, North Carolina",86111,291.06950124
"37123","Montgomery County, North Carolina",27173,55.281668343
"37133","Onslow County, North Carolina",197938,259.73695195
"37135","Orange County, North Carolina",148476,373.46914676
"37153","Richmond County, North Carolina",44829,94.637987543
"37161","Rutherford County, North Carolina",67029,118.54362688
"37163","Sampson County, North Carolina",63531,67.178650753
"37171","Surry County, North Carolina",71783,134.49000846
"37197","Yadkin County, North Carolina",37667,112.4582325
"37011","Avery County, North Carolina",17557,70.983871115
"37021","Buncombe County, North Carolina",261191,397.85567395
"37023","Burke County, North Carolina",90485,178.74051206
"37025","Cabarrus County, North Carolina",216453,599.16695849
"37059","Davie County, North Carolina",42846,162.48352625
"37057","Davidson County, North Carolina",167609,302.99227737
"37061","Duplin County, North Carolina",58741,72.096173339
"37063","Durham County, North Carolina",321488,1122.1784672
"37091","Hertford County, North Carolina",23677,67.042594974
"37105","Lee County, North Carolina",61779,242.21173834
"37129","New Hanover County, North Carolina",234473,1219.6196066
"37141","Pender County, North Carolina",63060,72.374972057
"37191","Wayne County, North Carolina",123131,222.29064897
"37165","Scotland County, North Carolina",34823,109.114949
"37189","Watauga County, North Carolina",56177,179.80064953
"37083","Halifax County, North Carolina",50010,69.099584032
"37001","Alamance County, North Carolina",169509,400.30913458
"37177","Tyrrell County, North Carolina",4016,10.276999845
"38089","Stark County, North Dakota",31489,23.588801262
"38103","Wells County, North Dakota",3834,3.0176315294
"38013","Burke County, North Dakota",2115,1.9165435738
"38061","Mountrail County, North Dakota",10545,5.7772635601
"38097","Traill County, North Dakota",8036,9.3239016358
"38105","Williams County, North Dakota",37589,18.092542376
"38007","Billings County, North Dakota",928,0.8080185878
"38021","Dickey County, North Dakota",4872,4.3058137771
