CTRY	YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	MAM	JJA	SON	DJF	ANN
Actaeon_Group	2019	79.34	79.52	78.98	77.18	75.74	73.22	71.78	73.4	72.32	72.68	75.56	76.28	77.36	72.86	73.58	-999	75.56
Afghanistan	2019	35.78	36.32	46.22	57.02	65.12	73.76	80.42	75.92	69.62	57.74	41.36	37.4	56.12	76.64	56.3	-999	56.48
Albania	2019	35.24	41	48.02	52.88	56.84	70.7	72.86	75.38	67.1	59	52.52	42.8	52.52	73.04	59.54	-999	56.12
Aldabra_Isl	2019	83.48	83.48	84.02	84.74	82.58	80.6	78.62	79.16	80.06	81.68	83.84	83.12	83.84	79.52	81.86	-999	82.04
Aleutians	2019	32.36	34.34	33.62	36.32	41.72	48.02	53.24	54.32	50.9	44.06	38.48	31.28	37.22	51.98	44.42	-999	41.54
Algeria	2019	53.24	58.28	65.48	72.14	81.14	89.06	92.3	90.86	86	75.92	63.32	57.38	72.86	90.68	75.02	-999	73.76
all	2019	43.88	45.5	51.8	58.1	63.14	67.82	69.8	68.9	65.66	59.36	50.9	46.4	57.74	68.9	58.64	-999	57.56
Amsterdam_Isl	2019	63.5	64.76	64.22	59.9	55.4	52.52	52.7	50.9	51.98	53.96	57.38	58.64	59.9	51.98	54.5	-999	57.2
Andaman_Isl	2019	81.14	81.32	82.04	85.1	84.56	81.68	82.04	79.7	79.7	82.58	82.4	81.32	83.84	81.14	81.68	-999	82.04
Andorra	2019	32.54	37.04	41.36	43.52	48.74	59.18	66.92	65.3	59.54	52.16	40.46	39.56	44.6	63.86	50.72	-999	48.92
Angola	2019	73.22	73.4	73.76	72.5	69.62	65.48	65.66	69.26	72.14	74.66	74.48	74.48	71.96	66.74	73.76	-999	71.6
Anguilla	2019	76.82	76.46	77.36	78.26	78.8	80.6	81.5	82.4	82.04	81.14	80.78	79.7	78.08	81.5	81.32	-999	79.7
Antigua_and_Barbuda	2019	77.54	77.54	78.26	78.8	79.88	81.32	82.22	82.76	82.76	81.68	81.14	80.6	78.98	82.04	81.86	-999	80.42
Antipodes_Isl	2019	52.34	51.26	48.92	45.5	42.8	39.92	39.02	38.48	39.74	42.62	46.4	50.36	45.68	39.2	42.98	-999	44.78
Argentina	2019	70.34	69.26	63.5	59.9	52.7	49.46	46.58	49.28	54.5	59.9	67.46	69.62	58.82	48.38	60.62	-999	59.36
Armenia	2019	23.54	26.06	34.16	44.06	57.56	67.64	69.8	69.44	59.9	53.24	35.24	29.66	45.32	68.9	49.46	-999	47.48
Ascension	2019	81.5	82.94	84.02	83.3	81.5	80.06	78.44	75.74	75.56	76.28	78.98	80.42	82.94	78.08	77	-999	79.88
Auckland_Isl	2019	50.18	50.72	50.36	47.66	44.6	41.9	41.9	40.28	41.9	44.06	46.4	48.92	47.48	41.36	44.24	-999	45.68
Australia	2019	85.64	82.58	80.6	73.4	65.66	59.72	60.44	61.34	68.18	75.92	78.8	84.92	73.22	60.44	74.3	-999	73.04
Austria	2019	26.06	34.88	40.28	46.22	47.48	63.32	64.58	64.58	55.94	49.64	39.56	33.62	44.78	64.22	48.38	-999	47.12
Azerbaijan	2019	36.68	37.76	42.62	51.62	65.84	77	77.36	76.46	66.56	60.26	42.8	40.1	53.42	77	56.48	-999	56.3
Azores	2019	58.64	57.74	58.46	59	63.32	65.48	69.8	71.6	70.7	67.28	63.14	60.62	60.26	68.9	67.1	-999	63.86
Bahamas	2019	72.14	75.56	74.48	77.72	80.6	83.48	83.66	84.02	83.48	82.76	77.54	74.66	77.54	83.84	81.32	-999	79.16
Bahrain	2019	64.94	66.2	70.34	80.42	93.02	100.76	103.28	100.76	97.7	89.06	72.86	68.18	81.32	101.66	86.54	-999	84.02
Banaba	2019	81.86	82.58	82.58	82.4	83.84	82.76	82.58	84.2	81.68	84.74	84.56	83.66	82.94	83.12	83.66	-999	83.12
Bangladesh	2019	67.1	69.26	75.56	80.6	83.3	83.66	82.94	83.48	82.22	80.06	74.84	65.48	79.88	83.3	78.98	-999	77.36
Barbados	2019	77.54	77.9	78.8	79.34	80.78	81.32	81.14	81.5	81.86	81.14	80.6	80.06	79.7	81.32	81.14	-999	80.24
Bassas_da_India	2019	81.86	82.04	81.68	79.88	75.56	72.5	71.6	73.22	74.3	78.44	80.42	82.22	78.98	72.5	77.72	-999	77.72
Belarus	2019	22.28	31.64	37.58	48.56	57.92	68.72	63.32	64.76	56.12	49.1	39.2	34.7	48.02	65.66	48.2	-999	47.84
Belgium	2019	37.4	43.52	46.76	51.44	53.42	65.84	67.46	67.1	59.36	53.6	43.7	42.44	50.54	66.74	52.16	-999	52.7
Belize	2019	73.76	77.54	77.72	79.88	82.76	82.58	81.86	82.22	82.22	79.88	77	75.02	80.24	82.22	79.7	-999	79.34
Benin	2019	82.22	83.66	88.52	86.72	84.56	81.14	80.42	79.16	80.6	80.78	83.12	81.14	86.54	80.24	81.5	-999	82.76
Bermuda	2019	64.58	64.76	64.04	67.64	70.7	75.92	79.88	81.14	79.16	75.56	70.88	66.38	67.46	78.98	75.2	-999	71.78
Bhutan	2019	32.18	34.52	39.38	46.22	52.16	57.74	57.56	58.64	55.22	48.02	42.62	32.36	46.04	57.92	48.56	-999	46.4
Bioko	2019	79.52	78.44	78.8	77.72	77	75.38	75.2	75.38	75.92	75.2	77.54	78.62	77.9	75.38	76.28	-999	77
Bolivia	2019	73.94	73.58	72.68	71.78	67.28	66.74	65.84	66.92	72.5	72.68	74.48	73.58	70.52	66.56	73.22	-999	71.06
Bonin_Isl	2019	59.36	61.16	63.14	65.66	71.96	75.92	78.98	82.22	81.5	77.18	70.16	64.22	66.92	78.98	76.28	-999	70.88
Bosnia-Herzegovinia	2019	32.18	39.38	47.3	52.52	54.32	69.98	70.7	73.22	63.5	55.94	49.46	40.1	51.26	71.24	56.3	-999	53.96
Botswana	2019	80.78	80.06	78.98	73.76	67.64	61.16	60.8	66.38	71.6	79.7	82.04	81.32	73.4	62.78	77.72	-999	73.58
Brazil	2019	80.06	79.7	79.52	79.16	77.9	77	75.74	77.18	79.88	80.42	80.6	79.88	78.8	76.64	80.24	-999	78.98
Brunei	2019	81.14	80.96	81.68	83.3	83.48	82.58	81.86	82.58	82.4	81.14	81.5	80.6	82.94	82.4	81.68	-999	82.04
Bulgaria	2019	32.72	37.4	46.58	51.62	60.62	71.96	72.86	74.84	66.38	57.38	51.98	39.38	53.06	73.22	58.64	-999	55.4
Burkina_Faso	2019	78.08	81.86	88.52	89.96	89.06	85.28	82.58	80.78	82.94	84.02	84.38	79.52	89.24	82.94	83.84	-999	83.84
Burundi	2019	68.72	70.16	69.98	69.8	65.12	67.64	68.36	70.52	71.06	69.62	68.36	67.82	68.36	68.9	69.62	-999	68.9
Cambodia	2019	79.7	82.94	84.02	86.36	85.46	83.48	82.76	81.86	81.14	82.04	81.14	78.44	85.28	82.76	81.5	-999	82.4
Cameroon	2019	77.18	78.08	80.42	79.88	78.08	75.92	75.38	74.66	75.92	75.74	76.82	76.1	79.52	75.38	76.28	-999	77
Campbell_Isl	2019	47.66	47.84	47.12	45.14	42.44	40.46	40.1	38.48	39.74	41.54	43.52	46.4	44.96	39.74	41.54	-999	43.34
Canada	2019	-7.6	-9.04	5.18	19.4	34.88	47.66	54.68	51.8	42.8	28.22	11.48	1.58	19.76	51.44	27.5	-999	23.36
Canary_Isl	2019	58.1	60.62	61.34	61.7	67.46	68.18	71.42	73.94	72.68	70.16	65.12	61.7	63.5	71.24	69.26	-999	66.02
Cape_Verde_Isl	2019	70.7	70.16	70.88	71.78	72.86	74.3	76.46	78.44	79.34	78.62	76.1	73.22	71.96	76.46	78.08	-999	74.48
Central_African_Rep	2019	78.26	81.14	81.68	81.68	80.24	77.18	76.1	75.38	76.46	75.74	77.36	76.28	81.14	76.28	76.64	-999	78.08
Chad	2019	70.88	76.46	80.96	86.54	89.06	88.7	86.36	82.94	85.1	82.58	75.74	71.42	85.46	86	81.14	-999	81.32
Chagos_Archipelago	2019	81.68	82.4	83.12	83.48	82.22	80.42	79.7	79.52	79.88	80.42	81.5	82.22	82.94	79.88	80.6	-999	81.32
Chile	2019	54.68	55.22	51.98	49.28	44.42	41.9	41.36	41.36	43.88	46.94	51.8	54.5	48.56	41.54	47.48	-999	48.02
China	2019	21.38	25.34	37.94	50.36	56.84	64.58	68.36	67.64	60.44	48.38	35.42	23.72	48.38	66.92	48.02	-999	46.76
Christmas_Isl	2019	80.96	81.86	80.96	81.14	78.62	77.36	76.28	77.72	77.36	80.96	78.98	81.14	80.24	77.18	79.16	-999	79.52
Chuuk_State	2019	81.5	82.76	82.4	83.3	83.84	83.66	82.94	82.4	82.76	83.3	82.76	82.22	83.12	82.94	82.94	-999	82.76
Cocos_Isl	2019	82.04	82.76	82.4	82.04	81.86	80.42	79.16	77.36	78.26	78.98	80.24	80.06	82.04	78.98	79.16	-999	80.42
Colombia	2019	77.72	78.8	78.8	78.26	77.18	76.82	76.64	77.36	77.54	76.82	77.72	77.9	78.08	77	77.36	-999	77.72
Comoros	2019	81.5	81.14	81.68	82.04	79.52	77.18	75.92	77	77.9	80.06	81.86	81.5	81.14	76.64	80.06	-999	79.7
Congo	2019	78.26	77.72	79.52	78.26	77.54	75.02	75.56	75.92	77	76.64	77.72	77.72	78.44	75.56	77.18	-999	77.18
Cook_Isl	2019	79.7	80.06	79.7	78.62	76.46	74.66	73.4	73.76	74.12	75.2	76.82	77.72	78.26	73.94	75.38	-999	76.64
Costa_Rica	2019	76.46	77.9	78.26	79.88	78.44	78.08	78.62	78.08	77.36	76.28	77.36	77	78.8	78.26	77	-999	77.72
Croatia	2019	34.34	42.44	48.92	53.96	55.4	71.06	72.68	73.76	64.58	57.74	50.18	41.72	52.7	72.5	57.56	-999	55.58
Crozet_Isl	2019	45.68	46.94	47.3	44.24	41.54	37.58	38.3	37.04	37.76	40.46	39.02	43.88	44.42	37.58	39.02	-999	41.54
Cuba	2019	73.76	77	76.28	78.8	81.14	82.94	82.58	82.94	82.58	82.22	78.62	76.28	78.8	82.94	81.14	-999	79.52
Curacao_Isl	2019	81.32	81.5	82.04	83.84	84.2	85.64	85.82	86.9	86.9	85.46	85.1	82.4	83.3	86.18	85.82	-999	84.2
Cyprus	2019	50.72	53.6	56.12	60.8	72.86	79.16	82.4	83.66	79.16	73.76	64.58	55.04	63.14	81.68	72.5	-999	67.64
Czech_Republic	2019	28.94	36.68	42.98	49.64	51.8	66.2	66.56	68	57.92	50.9	42.08	35.78	48.2	66.92	50.18	-999	49.82
Denmark	2019	33.08	38.3	40.82	47.3	50.72	62.6	63.32	64.4	56.3	48.74	41	39.02	46.22	63.32	48.74	-999	48.74
Djibouti	2019	75.92	78.98	80.6	84.56	86.72	89.06	92.12	89.24	87.62	82.04	79.52	77.18	84.02	90.14	83.12	-999	83.66
Dominica	2019	70.7	70.52	71.24	71.78	73.58	75.02	75.38	75.92	75.74	74.66	74.12	73.76	72.14	75.56	74.84	-999	73.58
Dominican_Republic	2019	74.3	73.76	75.2	77.54	77.72	79.88	80.06	81.5	80.24	79.16	78.62	74.66	76.82	80.42	79.34	-999	77.72
DR_Congo	2019	76.46	76.46	77.36	76.64	75.56	74.3	74.12	75.56	76.28	75.92	76.28	75.92	76.46	74.66	76.28	-999	75.92
Ducie_Isl	2019	73.22	74.12	72.68	69.62	68	64.94	63.5	64.76	64.4	64.58	68.18	69.62	70.16	64.4	65.66	-999	68.18
East_Timor	2019	79.16	79.7	79.16	78.62	78.08	75.74	75.38	75.56	76.1	78.8	80.24	80.78	78.62	75.56	78.44	-999	78.08
Easter_Isl	2019	72.14	73.58	73.76	72.14	68.18	64.94	64.22	63.14	63.86	64.94	68.72	70.7	71.42	64.04	65.84	-999	68.36
Ecuador	2019	73.4	73.76	73.22	73.58	73.22	71.6	72.68	72.32	72.32	72.14	73.22	73.58	73.4	72.14	72.5	-999	72.86
Egypt	2019	55.22	59	63.5	71.78	82.22	87.8	88.16	87.26	83.48	79.34	69.26	59.72	72.5	87.8	77.36	-999	73.94
El_Salvador	2019	75.38	77.9	78.44	79.88	79.88	78.26	78.8	78.44	77.36	76.46	76.46	75.56	79.52	78.44	76.82	-999	77.72
Equatorial_Guinea	2019	78.98	78.08	78.44	77.54	77.18	75.56	75.38	75.38	77	76.28	77.54	78.08	77.72	75.38	77	-999	77.18
Eritrea	2019	75.02	76.82	77.18	82.04	84.56	83.3	83.3	79.88	80.96	78.62	76.1	74.66	81.32	82.22	78.44	-999	79.34
Estonia	2019	22.64	31.28	33.26	44.6	51.44	63.68	61.52	62.42	53.6	44.06	37.04	35.24	42.98	62.6	44.96	-999	45.14
Ethiopia	2019	70.52	74.12	75.56	76.1	75.38	73.4	73.58	72.32	73.4	71.78	71.06	70.7	75.74	73.04	72.14	-999	73.22
Faeroes	2019	38.48	41.72	40.46	44.78	43.52	49.1	53.24	53.06	49.82	44.78	39.56	40.82	42.98	51.8	44.78	-999	44.96
Falkland_Isl	2019	48.92	49.46	48.38	44.6	40.28	37.76	37.22	36.32	38.48	42.26	44.96	49.1	44.42	37.04	41.9	-999	43.16
Fernando_de_Noronha	2019	80.96	81.14	80.78	80.96	80.96	79.88	78.44	78.26	78.98	79.7	80.96	81.5	80.96	78.8	79.88	-999	80.24
Fiji	2019	79.34	80.06	79.7	79.16	75.92	75.2	74.48	75.2	74.48	77.18	76.64	78.62	78.26	74.84	76.1	-999	77.18
Finland	2019	12.38	20.48	24.98	38.3	46.04	58.28	58.64	57.2	48.38	34.88	26.42	26.24	36.5	58.1	36.5	-999	37.76
France	2019	38.66	44.6	48.2	51.08	54.68	66.02	70.88	69.08	63.32	56.84	45.86	44.78	51.44	68.72	55.4	-999	54.5
Franz_Joseph_Land	2019	-10.66	-9.4	-3.1	4.64	17.42	31.46	38.3	36.32	30.92	21.92	6.08	-4.54	6.26	35.42	19.58	-999	13.28
French_Guiana	2019	78.08	77.9	78.8	79.16	78.98	78.98	78.62	79.34	80.78	80.6	80.6	78.8	78.98	78.98	80.6	-999	79.16
Gabon	2019	80.06	78.8	80.42	79.16	78.44	75.56	75.38	75.92	77.9	78.08	78.62	78.98	79.34	75.56	78.26	-999	78.08
Galapagos_Isl	2019	78.62	78.62	76.82	76.46	76.28	72.32	70.88	68.9	68.72	69.44	70.88	73.58	76.46	70.7	69.62	-999	73.4
Gambia	2019	75.56	79.7	83.12	85.28	86.9	85.28	84.56	82.94	82.4	84.2	83.12	78.8	85.1	84.38	83.3	-999	82.76
Georgia	2019	24.44	25.88	32.54	42.44	55.4	64.04	64.22	64.4	56.12	50.54	34.52	29.12	43.34	64.22	47.12	-999	45.32
Germany	2019	32.9	40.1	44.42	50	52.34	66.2	66.56	67.46	58.64	52.16	41.9	39.02	48.92	66.74	50.9	-999	50.9
